P+R_stop,stop_id,distance_m
Hollerich,200415009,95.21008812892372
Gare,200405059,19.534071822340575
Howald,200304012,54.556966035363324
Gare,200405036,66.70508918015747
Stadion,200412031,64.75171092400512
Stadion,200423009,45.358083695317845
Howald,200304016,27.050210478078856
Heienhaff,200508016,40.49616730119354
